IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;DataStart;lat;lng
10463;Ozono;æg/mü;1266;Bertonico v.Moro;65;03/08/2009;4523349364130370,00;9666250375296030,00
10079;Biossido di Azoto;æg/mü;695;Ponti sul Mincio v.San Martino;113;20/12/2006;4541277169168630,00;10683357343786800,00
9976;PM10 (SM2005);æg/mü;679;Valmadrera v.Pozzi;247;11/02/2006;45842207261022500,00;9351658166127960,00
9882;Ozono;æg/mü;674;Monza v.Machiavelli;162;21/10/2005;4558026348442240,00;9273573092713270,00
5958;Biossido di Azoto;æg/mü;629;Crema v.XI febbraio;79;01/11/1992;45366309078194300,00;9703945513613170,00
5610;Biossido di Azoto;æg/mü;607;Abbadia Cerreto v. Fanfulla;64;13/01/2000;45309502269282300,00;9585790416120410,00
6936;PM10 (SM2005);æg/mü;596;Osio Sotto v.per Levate;182;24/05/2000;4562055567939560,00;9611737821812370,00
30165;Ozono;æg/mü;669;Brescia Villaggio Sereno;70;13/12/2013;45513038818653800,00;1019194188877930,00
10280;Biossido di Zolfo;æg/mü;705;Milano Pascal Citt… Studi;122;16/06/2007;4547899606168740,00;9235491038497500,00
9772;Benzene;æg/mü;600;Lodi v.Vignati;80;23/04/2005;4530601298752380,00;948526286320174,00
10286;Biossido di Azoto;æg/mü;706;Lecco v.Sora;272;27/06/2007;4586374884127960,00;9399950344681850,00
10165;Ossidi di Azoto;æg/mü;703;Schivenoglia v. Malpasso;NULL;29/11/2006;45016877820755400,00;1107609463264050,00
6705;Monossido di Carbonio;mg/mü;643;Pavia p.zza Minerva;77;03/03/2002;4518632908049480,00;9146666041286780,00
5676;Biossido di Zolfo;æg/mü;561;Como v.Cattaneo;202;17/02/1991;4581504286011290,00;906697137484454,00
6921;PM10 (SM2005);æg/mü;564;Erba v. Battisti;279;13/06/2009;45808573806923000,00;9221779204488440,00
5507;Biossido di Azoto;æg/mü;504;Sesto San Giovanni v. Cesare da Sesto;139;18/12/1980;4553476576509220,00;9236107923411640,00
20427;Biossido di Zolfo;æg/mü;683;Cassano d'Adda 2-v.Milano;133;20/12/2017;4552647254585100,00;9515980483627100,00
5603;Biossido di Azoto;æg/mü;600;Lodi v.Vignati;80;30/12/1999;4530601298752380,00;948526286320174,00
