denominazione,latitudine,longitudine,provincia
Nesso,45.9134629,9.1578148,CO
Novedrate,45.699074,9.1218888,CO
Olgiate Comasco,45.7853507,8.9693401,CO
Oltrona di San Mamette,45.7570555,8.979074,CO
Orsenigo,45.7784629,9.1828148,CO
Ossuccio,45.9675056,9.1809411,CO
Parè,45.8118888,9.0098518,CO
Peglio,46.1606195,9.2959186,CO
Pellio Intelvi,45.9807096,9.0597793,CO
Pianello del Lario,46.1037592,9.2781481,CO
Pigra,45.9570797,9.126957,CO
Plesio,46.051832,9.2309295,CO
Pognana Lario,45.8794571,9.1586521,CO
Ponna,45.9900975,9.0939314,CO
Ponte Lambro,45.8275,9.226574,CO
Porlezza,46.0393888,9.1309444,CO
Proserpio,45.8277545,9.2489364,CO
Pusiano,45.8148518,9.2829814,CO
Ramponio Verna,45.9979814,9.0675185,CO
Rezzago,45.8677606,9.2512251,CO
Rodero,45.8250185,8.9164259,CO
Ronago,45.8332962,8.9848703,CO
Rovellasca,45.6654814,9.0523703,CO
Rovello Porro,45.6561111,9.041574,CO
Sala Comacina,45.9651666,9.1672037,CO
San Bartolomeo Val Cavargna,46.082561,9.148104,CO
San Fedele Intelvi,45.9687777,9.0818888,CO
San Fermo della Battaglia,45.810974,9.044241,CO
San Nazzaro Val Cavargna,46.0897733,9.1279061,CO
San Siro,46.0657962,9.2687592,CO
Schignano,45.9307962,9.1032962,CO
Senna Comasco,45.7639074,9.1122037,CO
Solbiate,45.7906296,8.9342222,CO
Sorico,46.1736111,9.3851666,CO
Sormano,45.8787592,9.2498518,CO
Stazzona,46.1396874,9.2765703,CO
Tavernerio,45.8017407,9.1417407,CO
Torno,45.8561061,9.1165619,CO
Tremezzo,45.9845555,9.2197037,CO
Trezzone,46.1725,9.3529814,CO
Turate,45.6582962,9.0053148,CO
Uggiate-Trevano,45.8243888,8.9607962,CO
Val Rezzo,46.072251,9.110591,CO
Valbrona,45.8784629,9.3000185,CO
Valmorea,45.8162777,8.9317222,CO
Valsolda,46.0249542,9.0543055,CO
Veleso,45.9083599,9.1817247,CO
Veniano,45.7209941,8.9903139,CO
Vercana,46.1602487,9.3353129,CO
Vertemate con Minoprio,45.725667,9.073066,CO
Villa Guardia,45.7775185,9.0278333,CO
Zelbio,45.9054433,9.1804132,CO
Acquanegra Cremonese,45.168271,9.890046,CR
Agnadello,45.4453148,9.5581296,CR
Annicco,45.2456481,9.8806481,CR
Azzanello,45.3150185,9.9207962,CR
Bagnolo Cremasco,45.3622037,9.614074,CR
Bonemerse,45.1147037,10.0786111,CR
Bordolano,45.2934159,9.9877002,CR
Ca' d'Andrea,45.119658,10.2773143,CR
Calvatone,45.129537,10.4423518,CR
Camisano,45.443893,9.744039,CR
Campagnola Cremasca,45.3996873,9.6703317,CR
Capergnanica,45.3386111,9.6445555,CR
Cappella Cantone,45.2475158,9.8393901,CR
